SNAPSHOT	DOCUMENTED	COMMIT NOTES
2745	YES	Added replacement functions sys_popen and sys_pclose. These are based on the glibc source code and are safer than the traditional popen as they don't use a shell to exec the requested command. Now we have these functions they can be tightened up (environment etc.) as required to make a safe popen. It should now be safe to add the environement variable loading code to loadparm.c Jeremy. 
2759	YES	"lib/system.c: Fixed gcc warnings. nmbd/nmbd_processlogon.c: Use ""True"" and ""False"" instead of 1 and 0. Others - preparing for multiple pdu write code. Jeremy. "
2767	NO	"Allow tdb databases to be created ""in memory"" without having a file associated with them.  tdb can then be used as a hash table data structure. "
2789	NO	Not used. Functionality folded back into rpc_server/srv_pipe.c (where it originally came from). Jeremy. 
2796	NO	Fix for names with spaces and some I18N filename issues from V. Fyodorov <V.Fyodorov@VAZ.RU>. Jeremy. 
2798	YES	Cleaning warnings from configure.developer 
2826	NO	indent update to make t easier to see setuid mods in TNG.  some code from these modules i had to leave out (nothing to do withj setuid) 
2837	NO	moved nmblib-specific code from util.c to nmblib.c. 
2882	NO	split out the lpq parsing code into a separate file printing/lpq_parse.c  getting ready for the new printing backend 
2886	NO	the bulk of the changes to get rid of fd_ptr and move print open handling to printing/printing.c  most of this was just replacing things like fsp->fd_ptr->fd with fsp->fd  the changes in open.c are quite dramatic. Most of it is removing all the functions that handled the fd multiplexing 
2892	YES	"finally got sick of the ""extern int Client"" code and the stupid assumption that we have one socket everywhere  while doing so I discovered a few bugs!  1) the clientgen session retarget code if used from smbd or nmbd would cause a crash as it called close_sockets() which closed our main socket! fixed by removing close_sockets() completely - it is unnecessary  2) the caching in client_addr() and client_name() was bogus - it could easily get fooled and give the wrong result. fixed.  3) the retarget could could recurse  allowing an easy denial of service attack on nmbd. fixed. "
2903	NO	Roll back to using static MACHINE.SID after consultation with Andrew. This code will be removed soon and a SID auto-generated from (probably) primary hostname and never stored in a file will replace it. Jeremy. 
2920	NO	the fsp needs a jobid in it now   
2922	NO	the bulk of the changes. Also split the loadparm related code into printing/load.c so swat can get it without linking to the backend code  
2934	NO	converted a bunch more functions to use a fd instead of a FILE*  to support some of this I added the following functions in util_file.c  file_lines_pload : load lines from a pipe file_pload : load a pipe into memory 
2936	NO	moved standard_sub() and friends into a separate module 
2937	NO	removed some obsolete configure tests (sysv ipc etc) 
2938	NO	got rid of some more old configure tests and includes 
2948	NO	"- got rid of the ""passive"" option - cleaned up the standard_sub_*() calls a lot "
2949	NO	patch from luke to split out lanman code from ipc.c into lanman.c 
2977	YES	moved INSURE hook into util.c 
2986	NO	split clientgen.c into several parts  the next step is splitting out the auth code  to make adding lukes NTLMSSP support easier 
3011	NO	- removed all our old wildcard matching code and replaced it with a call to ms_fnmatch(). This also removes all the Win9X semantics stuff and a bunch of other associated cruft.  - moved the stat cache code into statcache.c  - fixed the uint16 alignment re
3052	NO	added ability to present lock tests 
3055	YES	added -A analyze mode to locktest - it can now automatically prune the list of locks that cause a failure 
3061	YES	an even simpler example of NT gettings its locking code wrong. This one doesn't even need two connections to the box  just two file handles.  it is a very simple case actually  and one I think will happen quite a lot in real life. I wonder how they haven't noticed it? I checked and W2K has the same bug. 
3083	YES	added secrets.tdb and changed storage of trust account password to use it 
3127	NO	an imcompatible tdb format change (sorry!)  this will give us a much nicer migration path for the proposed semaphore code 
3144	YES	vastly improved awk based code generator now handles recursive function definitions  unions etc it is sufficient for some basic types like UNISTR2 and BUFFER5 to be defined in the *.struct file and used successfully  this generator uses templates (in *.tpl files) for all code generation  allowing easy replacement of the backend functions 
3159	YES	The new msdfs implementation that uses symlinks to point to other servers. Very intuitive.  Removed the dfs map parsing code and tdb maintenance code (files msdfs/parse_dfs_map.c & msdfs/msdfs_tdb.c)  dfs map loading and unloading calls (param/loadparm.c smbd/server.c).  Added code to display msdfs format symlinks as directories in a transact2_findfirst/findnext. (smbd/trans2.c)  Modified msdfs/msdfs.c to use the msdfs symlinks to create dfs referrals.  Changed msdfs/README to reflect new operability. 
3161	YES	another awk parser update we can now handle arrays of structures  pointers to structures  pointers in unions etc 
3185	NO	a fairly big change in spoolss. got rid of the forms  drivers and printers files in the nt drivers directory and instead use a single tdb  note that this is _not_ all finished. 
3199	YES	move srandom to after connect so random stuff in clientgen doesn't change seed 
3214	YES	SMBnttrans.  modified io_uint8s to return address of actual data instead of a copy  on unmarshalling.  removed fstring  made it io_string  did same thing.  io_string() and io_wstring() should be wrapped in a STRING typedef which is bit-switched on FLG2:Unicode. 
3224	NO	lp_server_role() + use in srv_reg. 
3230	NO	messing about. 
3233	NO	Fixed interface between new ACLS and nttrans code. Jeremy. 
3238	YES	Getting back to a compilable state (not there yet but close). Added patches for random -> sys_random. Added set_effective_xxx patches for AFS code. Memory allocation changes in spoolss code. Jeremy. 
3280	YES	Bringing these up to date with what I've got on my site.  The fixes include the change that prevents 'insure' from becomming confused and issuing leak reports.  Some minor speed fixes.  That sort of thing.  Chris -)----- 
3296	NO	"continued the split of the kernel level oplocks code into a more modular form. In this pass I added oplock_irix.c and added a ""struct kernel_oplocks"" that describes a kernel oplock implementation. "
3302	NO	split all the change notify code out into a separate module smbd/notify.c. All the data structures are now private to that module.  this is in preparation for Linux kernel support for change notify (coming soon to a CVS tree near you) 
3312	NO	added -L switch to tell smbtorture to use oplocks 
3315	NO	allow for lots of connections per server 
3386	NO	Merge from TNG. 
3395	NO	first pass at merging rpcclient from TNG to HEAD.  You can get a semi-connection and a rpcclient prompt  but no functionality there yet. Will be a few more days on that.  --jerry 
3427	NO	Moved winbind client functions from various odd locations to nsswitch/wb_client.c  Merge of nsswitch/common.c rename to nsswitch/wb_common.c from TNG. 
3443	NO	adding more spoolss command into rpcclient.  They don't all work currently.  More to come later.   --jerry 
3446	YES	removed prs_data()  prs_free_data()  and prs_realloc_data() as these were unneeded and replaced by the real functions already in HEAD.  Added a few more functions to parse_spoolss.c to help with the rpcclient merge from TNG. 
3449	NO	More functions merged from TNG for rpcclient.  They don't all work currently as I have to do something about the policy handle caching issues.    --jerry 
3476	NO	Added EnumPorts() and fixed up some problems with the other spoolss client calls.  Also cleaned up output for 'help' command.    jerry 
3528	NO	fixed help string 
3591	NO	made reopen_logs() always re-open logs  not try and be smart about not re-opening in some circumstances. This fixes a problem where a HUP does not re-open logs and leaves the log open on a unlinked file. 
3668	YES	Restructuring of the code to remove dos_ChDir/dos_GetWd and re-vector them through the VFS. All file access/directory access code in smbd should now go via the vfs. Added vfs_chown/vfs_chmod calls. Still looking at vfs_get_nt_acl() vfs_set_nt_acl() call API design. Jeremy. 
3683	YES	Missing null termination on printer changenotify message caused insure error. Jeremy. 
3686	NO	"utf-8 and EUC3 patch from Hiroshi Miura Samba User Group Japan staff. mkdir high bits patch from Robert Dahlem"" <Robert.Dahlem@gmx.net>. jeremy. "
3698	NO	Fixes from Damian at Cisco to tidy up some tdbtool issues. Jeremy. 
3700	NO	"Restructuring of vfs layer to include a ""this"" pointer - can be an fsp or a conn struct depending on the call. We need this to have a clean NT ACL call interface. This will break any existing VFS libraries (that's why this is pre-release code). Andrew gets credit for this one :-) :-).  In addition - added Herb's WITH_PROFILE changes - Herb - please examine the changes I've made to the smbd/reply.c code you added. The original code was very ugly and I have replaced it with a START_PROFILE(x)/END_PROFILE(x) pair using the preprocessor. Please check this compiles ok with the --with-profile switch. Jeremy. "
3701	NO	Inlined many of the vfs_XXX calls as macros for speed. Jeremy. 
3719	YES	don't use gets() ! 
3747	NO	Fix to allow smbd to call winbindd if it is running for all group enumeration  falling back to the UNIX calls on error. This should fix all problems with smbd enumerating all users in all groups in all trusted domains via winbindd. Also changed GETDC to query 1C name rather than 1b name as only the PDC registers 1b. Jeremy. 
3757	NO	Ok - this is a big patch - and it may break smbd a bit (although I hope not). If you encounter strange file-serving behavior after this patch then back it out. I analysed our stat() usage and realised we were doing approx. 3 stat calls per open  and 2 per getattr/setattr. This patch should fix all that. It causes the stat struct returned from unix_convert() (which now *must* be passed a valid SMB_STRUCT_STAT pointer) to be passed through into the open code. This should prevent the multiple stats that were being done so as not to violate layer encapsulation in the API's.  Herb - if you could run a NetBench test with this code and do a padc/par syscall test and also run with the current 2.2.0 code and test the padc/par syscalls I'd appreciate it - you should find the number of stat calls reduced - not sure by how much.  The patch depends on unix_convert() actually finding the file and returning a stat struct  or returning a zero'd out stat struct if the file didn't exist. I believe we can guarentee this to be the case - I just wasn't confident enough to make this an assertion before.  Ok ok - I did write this whilst at the Miami conference..... sometimes you get a little free time at these things :-).  Jeremy. 
3766	NO	We already have a perfectly good next_token() function we should be using instead of strtok - this fixes a bug with NT users with spaces in their names when using winbindd. Needs to be added to the other parse_lpXX functions (currently only added to lprng parsing code). Jeremy. 
3781	YES	Added a authentication hook to smbwrapper which allows a (username  workgroup  password) tuple to be provided by another function. 
3788	NO	"Fixes for sample VFS audit code from ""Brad Sahr"" <bsahr@macromedia.com>. Jeremy. "
3807	YES	"Large commit which restructures the local password storage API. Currently the only backend which works is smbpasswd (tdb  LDAP  and NIS+) are broken  but they were somewhat broken before. :)  The following functions implement the storage manipulation interface  /*The following definitions come from  passdb/pdb_smbpasswd.c  */  BOOL pdb_setsampwent (BOOL update); void pdb_endsampwent (void); SAM_ACCOUNT* pdb_getsampwent (void); SAM_ACCOUNT* pdb_getsampwnam (char *username); SAM_ACCOUNT* pdb_getsampwuid (uid_t uid); SAM_ACCOUNT* pdb_getsampwrid (uint32 rid); BOOL pdb_add_sam_account (SAM_ACCOUNT *sampass); BOOL pdb_update_sam_account (SAM_ACCOUNT *sampass  BOOL override); BOOL pdb_delete_sam_account (char* username);  There is also a host of pdb_set..() and pdb_get..() functions for manipulating SAM_ACCOUNT struct members.  Note that the struct passdb_ops {} has gone away.  Also notice that struct smb_passwd (formally in smb.h) has been moved to passdb/pdb_smbpasswd.c and is not accessed outisde of static internal functions in this file.  All local password searches should make use of the the SAM_ACCOUNT struct and the previously mentioned functions.  I'll write some documentation for this later.  The next step is to fix the TDB passdb backend  then work on spliting the backends out into share libraries  and finally get the LDAP backend going.  What works and may not:  "
3813	NO	Merge from appliance head of JR's changes for driver versioning. Jeremy. 
3833	YES	Another large patch for the passdb rewrite.    o added BOOL own_memory flag in SAM_ACCOUNT so we could     use static memory for string pointer assignment or     allocate a new string    o added a reference TDB passdb backend.  This is only a reference     and should not be used in production because 
3857	NO	Added print_freelist command. Jeremy. 
3862	NO	 =- better parsing - started to add non-numeric support
3890	NO	Changed to sourceforge tdb code. This includes spinlocks (so we now have a --with-spinlocks option to configure  this does mean the on-disk tdb format has changed  so 2.2alphaX sites will need to re-create their tdb's. The upside is no more tdb fragmentation and a +5% on netbench. Swings and roundabouts.... Jeremy. 
3901	NO	Cause smbd to use the new posix_acls code  not the old unix_acls code. Currently does exactly the same thing (returns ACLs the same way). This code is written to try and get a POSIX ACL via the abstract sys_XX interface  then fall back to providing a UNIX based ACL if the calls fail. Seems to work. Next step is to add a --with-posix-acls to configure.in and then check on a POSIX ACL system that a complex ACL is returned correctly as an NT ACL. Note that the ACL set (a more complex problem) is not addressed yet. Jeremy. 
3905	NO	Fixed bug with tdb_next_lock failing when reaching then end of a hashchain and the next hashchain is empty. Jeremy 
3926	NO	code review of rpcclient    o added some comments   o abstracted a few code bits   o cleaned up some code by removing unused code paths    -- jerry 
3972	NO	implemented a much nicer name_status() interface. It now returns a list of structures rather than the dodgy parsing code we had before  this also gets smbw working correctly with no initial workgroup (using name_status_find on __MSBROWSE__ returns) 
3995	NO	The latest changes to libsmbclient ...  It can now do a directory listing for workgroups  servers  and shares  and  with a bit more effort  it will be able to list directories and files.  I also does not request a username and password for the IPC$ share  but it should if the first attempt to connect fails. 
4003	NO	Update the tree.c GTK+ App so it can walk down directories etc ... 
4020	NO	Start of a rewrite of rpcclient based on the libsmb rpc client routines. Currently there are a small selection of lsa  samr and spoolss functions implemented.  More to follow... 
4021	NO	Merge of various fixes from the tng headers. 
4031	NO	Many bug fixes to the libsmbclient.c code plus    - an implementation of smbc_readdir   - extensions to tree.c to show files in a second window   - changes to auth_fn to provide buffers for username  password  etc     from caller rather than callee 
4088	YES	"Changes from APPLIANCE_HEAD:     source/include/proto.h         - make proto      source/printing/nt_printing.c     source/rpc_server/srv_spoolss_nt.c         - Fix for the overwriting of printerdata entries when WinNT and           Win2k are modifying printer parameters on PCL printers. Turns out           that Win2k creates a printer with a NULL devmode entry and then           expects to set it on *OPEN* (yes this is insane). So we cannot           return a ""default"" devmode for a printer - and we must allow an           open to set it.      source/tdb/tdb.c         - Show freelist in an easier format. Show total free.         - When storing a new record  allocate memory for the key + data           before the tdb_allocate() as if the malloc fails a (sparse) hole           is left in the tdb.      source/tdb/tdbtool.c         - Show freelist in an easier format. Show total free.      source/tdb/Makefile         - cleaned up Makefile dependancies      source/smbd/lanman.c         -  Fix for Win9x corrupting it's own parameter string.      source/printing/printfsp.c     source/printing/printing.c     source/rpc_server/srv_spoolss_nt.c     source/smbd/close.c         - Added normal close parameter into print_fsp_end() which treats an           abnormal close as error condition and deletes the spool file. "
4107	NO	Added commented/documented version of libsmbclient.h and fixed up a small problem in libsmbclient.c where we no longer pass the workgroup. 
4113	YES	It compiles for me now :-). rpc_server/srv_lsa.c - added fix to allow w2k clients to join a Samba domain - odd or even domain name length. Needs more testing. Jeremy. 
4118	NO	samba/source/nmbd/nmbd.c
4121	YES	Excise snprintf -> slprintf. srv_samr.c: duplicate gid fix. srv_spoolss_nt.c: Merge of JF's work. uid.c: Fix for returning names when a PDC. Jeremy. 
4126	NO	Improve the sample GTK+ client program to make it a bit more functional. 
4141	NO	yipee! client unicode now works well with nt 
4145	NO	the unicode conversion of our client code is complete enough to be enabled by default  you can disable it by setting the environment variable CLI_FORCE_ASCII 
4155	NO	fixed character set init in smbw_sample 
4177	YES	Fix some errors uncovered in libsmbclient by the test suite Fix some problems with unused variables and reaching the end of a   nonvoid function 
4226	NO	Fixes to testsmbc to ensure it will compile on SGI ... 
4230	YES	"Serious (and I *mean* serious) attempt to fix little/bigendian RPC issues. We were reading the endainness in the RPC header and then never propagating it to the internal parse_structs used to parse the data. Also removed the ""align"" argument to prs_init as it was *always* set to 4  and if needed can be set differently on a case by case basis. Now ready for AS/U testing when Herb gets it set up :-). Jeremy. "
4236	NO	Sync up Urbans changes from 2.2 into HEAD. Jeremy. 
4238	NO	Merge of new 2.2 code into HEAD (Gerald I hate you :-) :-). Allows new SAMR RPC code to merge with new passdb code. Currently rpcclient doesn't compile. I'm working on it... Jeremy. 
4245	YES	Dead code removal. Not used anywhere. Jeremy. 
4247	YES	Moved cruft out of smb.h into ntdomain.h where it belongs. dc struct now in pipe struct (where used) rather than user_struct. Secured machine account password changing in srv_netlog_nt.c - ensure that only the given machine can change its own password. May need to free this up later for NT admin tools  but this is a fail-safe secure position for now. Jeremy. 
4272	NO	simpler clistr interface which handles individual packets having unicode bit set differently to capabilities 
4273	NO	don't need srvstr_push_size or srvstr_pull_size 
4277	NO	AS/U on a sparc now joins and authenticates against a Samba PDC ! Jeremy. 
4294	NO	enable unicode on the wire by default in smbd  the unicode support isn't complete  but it is good enough to be usable for a test server. 
4310	NO	much better readline support from Simo Sorce  with some mods from me to make it a bit simpler 
4348	NO	Fix for ENOSPC from DCB. Jeremy. 
4350	YES	Added NFS quota support for Solaris 5.x from Alan Romeril <a.romeril@ic.ac.uk>. sun1.samba.org is down at the moment so I can't test the compile on this. I'm sure Solaris people using quotas will scream if I've meesed anything up :-). Jeremy. 
4352	YES	Removed NFS quotas code for Solaris as Alan wants to re-write it. Jeremy. 
4368	NO	"This is a big  rather ugly patch. Whilst investigating the files not truncated when copying to a full disk problem  I discovered that we were not allowing the delete on close flag to be set properly  this led to other things  and after investigation of the proper delete on close semantics and their relationship to the file_share_delete flag I discovered there were some cases where we weren't doing the deny modes properly. And this after only 5 years working on them..... :-) :-). So here's the latest attempt. I realised the delete on close flag needs to be set across all smbds with a dev/ino pair open - in addition  the delete on close flag  allow share delete and delete access requested all need to be stored in the share mode tdb. The ""delete_on_close"" entry in the fsp struct is now redundant and should really be removed. This may also mean we can get rid of the ""iterate_fsp"" calls that I didn't like adding in the first place. Whilst doing this patch  I also discovered we needed to do the se_map_generic() call for file opens and POSIX ACL mapping  so I added that also. This code  although ugly  now passes the deny mode torture tests plus the delete on close tests I added. I do need to add one more multiple connection delete on close test to make sure I got the semantics exactly right  plus we should also (as Andrew suggested) move to random testing here.  The good news is that NT should now correctly delete the file on disk full error when copying to a disk :-).  Jeremy. "
4384	NO	Fix from Michael Davidson <md@sco.COM> to merge Solaris and UnixWare ACLs. Jeremy. 
4427	NO	As Andrew suggested  make smbrun return a fd for a deleted file which can then be read. Jeremy. 
4449	NO	hide unreadable patch from idra 
4455	NO	Removed mktemp from HEAD - same as done in 2.2. Jeremy. 
4458	NO	merge from 2.2 
4485	NO	merge some of the nsswitch code from tng to head the libnss_winbind.so from head now works with the winbindd from tng 
4493	YES	added much better snprintf code  plus new function asprintf 
4495	NO	Added Herb's comment fix. Jeremy. 
4508	YES	got asprintf defn right 
4510	YES	- added test for vasprintf - cleaned up GNUC printf attribute macros - added enum handling in mkproto - removed non-vararg code - made slprintf and vslprintf just macros for snprintf and vsnprintf - don't need slprintf code any more 
4519	NO	fixed comment-in-comment 
4561	NO	new mput code from idra that doesn't need a call to find 
4566	NO	merge some fixes from 2.2 
4637	YES	Fixed glibc crash problems with libnss_wins.so Jeremy. 
4643	YES	Broke out change trust account password routines into separate file since they're only used in one place anyway (timeout_processing() in process.c) 
4659	NO	Added stubs for SRVSVC and NETLOGON rpcclient commands. 
4667	NO	Added srvinfo and partial logonctrl and logonctrl2 commands. 
4669	YES	Fix for random stream generator. Jeremy. 
4683	NO	make swat recover from previously bad umask from xinetd 
4690	YES	Rename bzero -> memset. Check returns from *all* mallocs (including strdups). Jeremy. 
4735	NO	"lib/util_getent.c: removed debug code. smbd/posix_acls.c: Attempt to fix the ""lose default acl"" problem in Solaris. Needs testing. lib/sysacls.c: Typo fix. Jeremy. "
4761	NO	torture code is moving to its own directory 
4762	NO	moved all our torture code to a separate directory 
4777	YES	 Added STR_NOALIGN flags to clistr and srvstr fns. Yes  NT actually does send unaligned unicode strings sometimes! Fixed our handling of the workgroup name tacked on the end of the NT1 negprot response (a unaligned unicode) fixed a couple of places where we should be using the message_end fns instead of pre-calculated buffer lengths 
4845	YES	Insure caught the fact that PTRDIFFs were being done between two unrelated pointers. Jeremy. 
4870	YES	"The big character set handling changeover!  This commit gets rid of all our old codepage handling and replaces it with iconv. All internal strings in Samba are now in ""unix"" charset  which may be multi-byte. See internals.doc and my posting to samba-technical for a more complete explanation. "
4987	YES	Fixes for varargs problems with std c. Fix from Rick Lake <rwlake@anp.nl> for QNX. Jeremy. 
4993	NO	Pidfile check can be read-only. Removed old ifdef in password.c Jeremy. 
5000	YES	This is my 'Authentication Rewrite' version 1.01  mostly as submitted to samba-technical a few weeks ago.  The idea here is to standardize the checking of user names and passwords  thereby ensuring that all authtentications pass the same standards.  The interface currently implemented in as  nt_status = check_password(user_info  server_info)  where user_info contains (mostly) the authentication data  and server_info contains things like the user-id they got  and their resolved user name.  The current ugliness with the way the structures are created will be killed the next revision  when they will be created and malloced by creator functions.  This patch also includes the first implementation of NTLMv2 in HEAD  but which needs some more testing.  We also add a hack to allow plaintext passwords to be compared with smbpasswd  not the system password database.  Finally  this patch probably reintroduces the PAM accounts bug we had in 2.2.0  I'll fix that once this hits the tree.  (I've just finished testing it on a wide variety of platforms  so I want to get this patch in). 
5019	NO	Patch for having spaces in tdb keys  NULL termination fixes and other stuff.  From Andrew Esh <AEsh@tricord.com> 
5022	YES	Change all realloc() statements to Realloc() (ecxept for tdb.c) changed some code to exploit the fact that Realloc(NULL  size) == malloc(size) fixed some possible mem leaks  or seg faults.  thanks to andreas moroder (mallocs not checked in client/client.c  client/smbumount.c) 
5036	YES	"A rewrite of the error handling in the libsmb client code.  I've separated out the error handling into a bunch of separate functions rather than all being handled in one big function.  Fetch error codes from the last received packet:      void cli_dos_error(struct cli_state *cli  uint8 *eclass  uint32 *num);     uint32 cli_nt_error(struct cli_state *);  Convert errors to UNIX errno values:      int cli_errno_from_dos(uint8 eclass  uint32 num);     int cli_errno_from_nt(uint32 status);     int cli_errno(struct cli_state *cli);  Detect different kinds of errors:      BOOL cli_is_dos_error(struct cli_state *cli);     BOOL cli_is_nt_error(struct cli_state *cli);     BOOL cli_is_error(struct cli_state *cli);  This also means we now support CAP_STATUS32 as we can decode and understand NT errors instead of just DOS errors.  Yay!  Ported a whole bunch of files in libsmb to use this new API instead of the just the DOS error. "
5043	NO	Merge in the NT drivers changes from 2.2. Jeremy. 
5047	YES	This patch does a number of things  mostly smaller than they look :-)  In particuar  it moves the domain_client_validate stuff out of auth_domain.c to somwhere where they (I hope) they can be shared with winbind better.  (This may need some work)  The main purpose of this patch was however to improve some of the internal documentation and to correctly place become_root()/unbecome_root() calls within the code.  Finally this patch moves some more of auth.c into other files  auth_unix.c in this case.  Andrew Bartlett 
5049	YES	this is a big global fix for the ptr = Realloc(ptr  size) bug. many possible mem leaks  and segfaults fixed.  someone should port this fix to 2.2 also. 
5131	NO	fixed handling of 139/445 in clients 
5196	NO	Merge of transfer file code from 2.2  fix for readbraw. Jeremy. 
5204	YES	more warning fixes on solaris 
5226	NO	Converted to NTSTATUS return codes.  Started on producing smbpasswd output from user account information. Doesn't work yet.  Added -U option so samsync can be run interactively. 
5240	YES	replaced stdio in many parts of samba with a XFILE. XFILE is a cut-down replacemnt of stdio that doesn't suffer from the 8-bit filedescriptor limit that we hit with nasty consequences on some systems  I would eventually prefer us to have a configure test to see if we need to replace stdio  but for now this code needs to be tested widely so I'm enabling it by default. 
5242	NO	passdb/smbpassfile ain't needed any more - it only provided migration from an ancient file format  not relevant for Samba 3.0 
5247	NO	convert more code to use XFILE 
5293	YES	Fix (I hope) for a number of little compile warnings found by the IRIX compilers on the build farm.  Andrew Bartlett 
5299	YES	move to SAFE_FREE() 
5330	NO	smbmount fixes from Urban. Jeremy. 
5333	NO	fixed the error code handling in can_delete() by converting it to NTSTATUS. This gets the right error codes in SMBunlink 
5353	NO	added a little smbtorture test for dumping the unicode table of a server. This is just a framework right now - I want this to eventually replace the win32 test code from monyo  The interesting this about this test is that it shows up a really horrible performance bug in our stat cache code. I'll see if I can fix it. 
5368	YES	Make use of the pdb_set_plaintext_passwd() update to vastly simplify decode_pw_buffer() and the samr password changing routines.  And yes  I know that we can lost some information in the Unicode->UTF->Unicode bit of this  but its worth the code cleanup.  This also takes into account the possability of multibyte passwords.  Andrew Bartlett 
5374	NO	merge from 2.2 
5380	YES	Kill unused variables 
5392	NO	further devel and test kit. first tests show it still does not work. work in progress... 
5440	NO	initial kerberos/ADS/SPNEGO support in libsmb and smbclient. To activate you need to:  - install krb5 libraries - run configure - build smbclient - run kinit to get a TGT - run smbclient with the -k option to choose kerberos auth 
5450	NO	added NTLMSSP authentication to libsmb. It seems to work well so I have enabled it by default if the server supports it. Let me know if this breaks anything. Choose kerberos with the -k flag to smbclient  otherwise it will use SPNEGO/NTLMSSP/NTLM 
5455	YES	This file is really old and not used anymore. 
5467	NO	the next step in the intl changeover. This should get us compiling agian  and also completes the switch to lang_tdb.c. SWAT should now work with a po file in the lib/ directory  also removed useless SYSLOG defines in many files 
5470	NO	fixed typo 
5471	YES	removed unused gettext code 
5482	NO	added basic NTLMSSP support in smbd. This is still quite rough  and loses things like username mapping. I wanted to get this in then discuss it a bit to see how we want to split up the existing session setup code 
5484	NO	Now compiles under head branch.  Funny  I don't remember using libtool in the original Makefile... 
5534	YES	Replace getopt_long with popt for parsing commandline options 
5575	NO	Allow the logon level to be passed to cli_netlogon_sam_logon() rather than the validation level.  This allows us to test interactive or network logons.  Interestingly enough a win2k native mode server generates a rpc fault when presented with a network logon! 
5587	YES	This is a farily large patch (3300 lines) and reworks most of the AuthRewrite code.  In particular this assists tpot in some of his work  becouse it provides the connection between the authenticaion and the vuid generation.  Major Changes: 
5595	YES	Various post AuthRewrite cleanups  fixups and tidyups.  Zero out some of the plaintext passwords for paranoia  Fix up some of the other passdb backends with the change to *uid_t rather than uid_t.  Make some of the code in srv_netlog_nt.c clearer  is passing an array around  so pass its lenght in is definition  not as a seperate paramater.  Use sizeof() rather than magic numbers  it makes things easier to read.  Cope with a PAM authenticated user who is not in /etc/passwd - currently by saying NO_SUCH_USER  but this can change in future.  Andrew Bartlett 
5611	NO	a big one:  - old mangle code has gone  the new one based on tdb seem resonably ok    probably the valid.dat table need to be updated to treat wild chars as    invalid ones (work ok without it)  - a LOT of new string manipulation function for unicode  they are somewhat    tested but a review would not be bad  - some new function I will need for the new unix_convert function I'm writing     this will be renamed filename_convert and use only unicode strings.  - charconv  I attached a comment  if someone wnat to look if I'm right or    just was hacking to late in the night to make a sane one :)  of course any bug is my responsibility an will be pleased to see patches if you find any. :-)  Simo. 
5627	NO	Internationalization enbalement for net utility - replace printf with d_printf 
5633	YES	Added debug in truncate  fixed warning with gcc3. Jeremy. 
5640	NO	Removed #ifdef TDB_DEBUG around tdb_dump_all() and tdb_printfreelist() so that tdbtool can be compiled without having to make clean. 
5648	NO	Remove built-in support for clear-text kerberos authentication.  This should remove some confusion from the ./configure  but does not affect the 'real' kerberos support currently residing in smbd/sesssetup.c.  This code is vunerable to a spoofed KDC  and is best replaced by --with-pam and the pam_krb5 module.  This module includes measures to prevent such spoofing.  Andrew Bartlett 
5657	YES	Fixed allocation bug in database prog. Some format fixes. Jeremy. 
5658	NO	messed up with patches  this should be the right one  sorry 
5665	NO	verified two new win2k rpc's EnumPrinterDataEx() and DeletePrinterdataEx() 
5731	NO	Fix up libsmbclient in head.  Apply the patches from Tom Jansen  get rid of fprintfs and change them to DEBUGs  etc ... 
5758	NO	Removed TimeInit() call from every client program (except for one place in smbd/process.c where the timezone is reinitialised.  Was replaced with check for a static is_initialised boolean. 
5776	YES	This is another rather major change to the samba authenticaion subystem.  The particular aim is to modularized the interface - so that we can have arbitrary password back-ends.  This code adds one such back-end  a 'winbind' module to authenticate against the winbind_auth_crap functionality.  While fully-functional this code is mainly useful as a demonstration  because we don't get back the info3 as we would for direct ntdomain authentication.  This commit introduced the new 'auth methods' parameter  in the spirit of the 'auth order' discussed on the lists.  It is renamed because not all the methods may be consulted  even if previous methods fail - they may not have a suitable challenge for example.  Also  we have a 'local' authentication method  for old-style 'unix if plaintext  sam if encrypted' authentication and a 'guest' module to handle guest logins in a single place.  While this current design is not ideal  I feel that it does provide a better infrastructure than the current design  and can be built upon.  The following parameters have changed:  - use rhosts =    This has been replaced by the 'rhosts' authentication method   and can be specified like 'auth methods = guest rhosts'   - hosts equiv =    This needs both this parameter and an 'auth methods' entry   to be effective.  (auth methods = guest hostsequiv ....)   - plaintext to smbpasswd =    This is replaced by specifying 'sam' rather than 'local'   in the auth methods.  The security = parameter is unchanged  and now provides defaults for the 'auth methods' parameter.  The available auth methods are:  guest rhosts hostsequiv sam (passdb direct hash access) unix (PAM  crypt() etc) local (the combination of the above  based on encryption) smbserver (old security=server) ntdomain (old security=domain) winbind (use winbind to cache DC connections)   Assistance in testing  or the production of new and interesting authentication modules is always appreciated.  Andrew Bartlett 
5778	YES	rewrote net.c  The rewrite fixes a number of things:  - much better command line parsing - fixed usage of static and const - better finding of hosts - clean internal separation of sub-functions - expandable design 
5786	YES	use generate_random_str() 
5791	NO	Add a new torture test to extract a NT->DOS error map from an NT member of a samba domain.  The PDC must be running a special authenticaion module that spits out NT errors based on username.  Andrew Bartlett 
5807	NO	This compleats the of the authenticaion subystem into the new 'auth' subdirectory.  (The insertion of these files was done with some CVS backend magic  hence the lack of a commit message).  This also moves libsmb/domain_client_validate.c back into auth_domain.c  becouse we no longer share it with winbind.  Andrew Bartlett 
