SNAPSHOT	DOCUMENTED	COMMIT NOTES
4818	NO	Merge in second phase Disk IO refactoring  separating out the store and the io logic.  Patches applied:   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-15    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-286   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-16    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-287   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-17    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-288   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-18    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-289   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-19    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-290   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-20    Sync to HEAD.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-21    More OOification.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-22    Extraction of Disk IO modules.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-23    Make diskd use the IO separation facility.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-24    More diskd layering work.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-25    Rename SwapDirOption to ConfigOption.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-26    More diskd works.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-27    Move diskd's IO logic to DiskIO/DiskDaemon   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-28    Finish AUFS logic separation.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-29    Add AIO Disk IO Module.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-30    Fix double-free in coss.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-31    AIO as a full IO Module.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-32    Make IO usage flexible.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-33    Make coss work with diskd.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-34    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-356   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-35    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-357   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-36    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-358   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-37    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-359   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-38    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-360   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-39    Add missed files.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-40    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-361   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-41    AIO stability work.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-42    Coss tidyup.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-43    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-44    Bugfix: coss aliasing error.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-45    Merge http_version fix.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-46    CossLog tweaks.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-47    Remove all AIO dependencies from coss.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-48    Merge from HEAD.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-49    merge from HEAD   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-50    sync with MAIN   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-51    merge in bugfix for auth double deletes in digest   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-52    update from HEAD   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-53    sync with HEAD 
4862	NO	Kill netmask guessing in IP based ACLs. If netmask is not specified assume a /32 mask. 
4894	YES	"Bug #321: Squid date handling fails to handle several slightly nonconforming date formats in use on the Internet today.  There is many servers sending non-conforming dates outside the formats documented in RFC2616. This patch simplifies the date parser allowing Squid to process dates is a number of other ""odd"" formats. The benefit of doing this is that it allows Squid to properly cache objects from these servers.  Forward port of 2.5 patch. "
4932	YES	Use FD_READ_METHOD/FD_WRITE_METHOD instead of read()/write() in the async-io completion event for better portability  The CommIO class must be moved to a separate include file to avoid problems with fde.h inclusion from comm.h 
4941	NO	Bug #1223: Make the use of the %m error page to return auth info messages  This patch extends the helper protocols for Basic and Digest to provide some basic information in error responses  and makes use of the error response already included in the NTLM helper protocol  making these messages available as %m in error pages. Can be used if desired to indicate why a login failed. The exact messages returned is helper dependent.  Forward port of 2.5 patch. 
4945	NO	Bug #1244: Squid-3.0 compilation problems with gcc-4.0  Partial forward port of 2.5 patches from bug#1211 
4974	NO	Compare the query sesion of DNS responses to the actual query to ensure there is no overlaps between queries using the same ID. 
5002	NO	Samba-2.X is declared unsupported by the Samba team. Remove the old winbind helpers to reduce confusion. People wanting winbind integration really should use Samba-3.X these days. 
5004	YES	Bug #767: Problems making Squid 3.0 PRE3 64 bit  Fixed the following on HP Tru64 and probably on some other 64 bit platforms:  - assert() must test logical expressions  not pointers - STATUS define conflict in parse.c (snmplib) - Warnings SMB  fakeauth and MSNT helpers - Various debug() ==> debugs() changes - Alpha asm access to CPU profiling info - timezone should be long  not time_t - Various clean of ESI code - assert() definition problem in diskd.cc 
5013	NO	Removed obsolete Samba headers 
5041	NO	Bug #1344: Fails to compile with glibc -D_FORTIFY_SOURCE=2 (used by Fedora Core 4 and others)  Forward port of 2.5 patch. 
5107	NO	From Squid-2: Generalisation of the build environment to have cf_gen built more like the other binaries. Primary reason is to allow the use of defines inherited from squid.h or system headers in cf.data.pre conditions. 
5141	NO	Added ICAP RESPMOD PRECACHE  These are fairly significant changes to HTTP server-side processing code to support ICAP request modification. 
5164	NO	Turned pconn.cc into C++ classes.  There are now separate persistent connection pools for client-side  server-side  and now ICAP.  Accounting for persistent connection use still sucks because HTTP (http.c) and ICAP state structures don't have any way to keep track of how many times a given TCP connection was used.  So we'll keep abusing fd_entry[] for this purpose. 
5185	YES	Initialize the members of HttpRequest in the constructor so that we don't get errors on free() when the clean() method is called. 
5240	NO	A static definition of w_space here is no more needed 
5298	NO	removed obsolete ldap files. These was moved to the ldap helper directory 
5320	YES	Use squid_random & squid_srandom instead of random & srandom. 
5325	NO	Replacing ClientBody class with BodyReader.  The old ClientBody code did not allow us to insert ICAP into the flow of an HTTP request.  Code in http.cc called read functions in client_side.cc when forwarding a request body.  But with ICAP in the middle  HTTP needs to get the message body from ICAP  not client_side.  The new BodyReader is similar to ClientBody.  Now read and abort functions are pointers  rather than hard-coded in HTTP/FTP modules. 
5369	NO	Move squidclient and cachemgr from src to tools 
5384	NO	Added usage of configure results 
5442	NO	Bug #1490: GPL license issues with RSA MD5 implementation  replaced the Squid provided MD5 with another public domain copy not encumbered by the RSA license. 
5476	NO	extend getpwnam helper to also support shadow password systems  by Giancarlo Razzolini 
5479	YES	Bug #1718: warning: the address of 'strerror_buf' will always evaluate as 'true'  newer versions of GCC is a little more picky and alerts us on design errors.. 
5480	NO	Remove unneeded duplication of RegexData logic from ACLHTTPHeaderData implementation. 
5486	YES	Bug #582: fake_auth ntlmGetString: bad ascii: ffffffb9 followed by FATAL: authenticateNTLMHandleReply: called with no result string  This is a major revision of fake_auth:  - Added support for unicode char encoding - Added runtime debug functionality - Removed offending fprintf(stdout) - Removed obslete unused code sections  The support for unicode char encoding allow the usage of high ascii characters in username with Windows NT/2000/XP/2003 clients. This still cannot work for obsolete Windows 9x clients. 
5494	NO	Split out cbdata fully  it now is an optional include and no Init call is needed. 
5554	NO	Bug #1759: cachemgr.cgi attempts to write to file system root directory under MSWIN builds  This patch is a minor revision of Windows support of cachemgr. 
5559	NO	Windows port: split Windows service code into WinSvc.cc  allowing correct execution of make check 
5560	NO	Fix bug 1218 by adding tests for the io engine of coss and ufs swapdirs after parsing completes  and providing a heuristic lookup for finding a DiskIOModule when none is specified. 
5573	NO	"First part of a comm layer rework  * Remove new-style CommWrite  CommFill * Add in a low-overhead C replacement for comm_read and comm_write * Remove the difference between comm_write and comm_old_write; everything   is back to using the same API for now * create a simple C-based read/write IO callback mechanism  used by   comm_read and comm_write  Whats left to do:  * convert accept/connect to using the new C-based read/write IO callback   mechanism (and remove the requirement to allocate/free transient   structures) * rework the deferred read manager code somewhat * then  remove the new-style CommRead code and use comm_read + whatever   the deferred read manager has become * remove whats not being used "
5659	NO	Kill the psuedo-support for wais. Was never really implemented.  This change removes the wais_relay_host/port directives. WAIS support was never really implemented but relied on forwarding the requests to some other proxy/gateway using HTTP. Now this can just as well be done with cache_peer so there is no point in having this duplicated and unmaintained forwarding code around. 
5664	YES	
5665	YES	
5701	NO	Bootstrapped 
5727	NO	SQUID_HELPER define for including squid.h from helpers  squid.h has some debugging stuff in it which should only apply to the main squid binary  not various helpers also referencing squid.h.  This patch also splits the unlinkd helper from unlinkd.cc to unlinkd_daemon.cc to make it more readable. 
5738	YES	Fixed buffer overflow bug in whois.cc.  Terminating null was written one byte past end of the buffer  clobbering the dataWritten variable.  Caused an assertion for whois replies longer than BUFSIZ (1024) bytes. 
5758	NO	Author: Guido Serassio <guido.serassio@acmeconsulting.it> Removed unused ICAPClientStream code.  The functions provided by ICAP/ICAPClientStream.{cc h} were called from client_side_reply.cc but the code was #ifdef-ed with ICAP_CLIENT_RESPMOD_POSTCACHE  which was not defined anywhere. Somebody was either trying to get ICAP RESPMOD post-cache work with client streams long time ago (but did not get far) or just wanted to provide hooks for future use. 
5772	YES	Add string API layer for better string handling.  For various reasons listed below we adopt the std::string API (but not the implementation) as the basis for string operations.  This patch reverts the SquidString.h file to provide only the main API and hooks for any string implementation behind the API.  For Release 3.0 the old String (now SqString) will remain the default string core. That code has been kept in this patch with some minor modifications and bug fixes as listed below.  For Release 3.1 it is expected that a better string core will be developed.  Reasons for these changes:  The initial String implementation was incomplete and non-standard causing some risky operations at points in the code and duplicated some operations. std::string provides a better known API for string handling which is widely use amongst other string implementations beyond std::string itself and this enables std::string or a derivative to be used in squid at some future date. String as used previously is a defined alternative to std::string in some systems  This patch:    - moves the old String class to SqString    - provides the well-known type of 'string' for general use    - provides implicit conversion from char* and char[] types    - migrates custom functions to well-known API:        buf()           -> c_str()        clean()         -> clear()    - removes redundant functions:        buf(char*)      -> operator=(char*)        initBuf(char*)  -> operator=(char*)        reset(char*)    -> operator=(char*)    - adds well-known API methods for safer string use:        operator []        empty()        operator <<        strcmp()  strcasecmp()  etc    - May fix bug #1088 - segmentation fault after append(char* int)    - Fixes several unreported char* handling bugs in String/SqString 
5780	YES	Fix old bug: append sometimes does not fully copy a string if \0 exists in source  This bug exists in the basic implementation of strncat(dst src len) which will only copy EITHER to len or first \0 character  whichever comes first. In squid this only occurs only if the string internal buffer is large enough to hold the existing plus the new strings. The buffer re-allocation code used proper xmemcpy which does not have this limitation. Have now set both append() branches to use the same copy mechanism. 
5796	NO	Rollback String API changes. Delayed to 3.1. 
5845	YES	Various cleanups to make GCC happy 
5898	NO	Windows port: Allow build on Windows of eDirectory Digest helper 
5908	NO	Author: wessels & Christos Tsantilas Import squid3-largeobj branch  fixing proxying and caching of >2GB objects  this patch converts all variables referring to object sizes & offsets to 64-bits  and gets rid of a lot of related casts.  The cache format is also updated to use 64-bit offsets  using a format compatible with Squid-2.6. 
5939	YES	Drop the very old dlmalloc version we have. It's more likely to cause harm than any good.  The number of systems having bad malloc implementations AND being able to build Squid-3 is minimal  and the system provided dlmalloc works better. 
5942	NO	Allow for more complex filters in squid_ldap_auth 
5958	NO	More squid.conf reordering to get the dependencies between options sorted proper  this patch also adds an automatic dependency verification to cf_gen  reducing the risk of this kind of confusing ordering of the directives. driven by the new cf.data.depend file listing the directive types and their dependencies. 
6016	NO	Drop the RSA licensed MD5 implementation  and use the one shipped with Squid instead 
6027	NO	Kill GPL-incompatible (Apache) lib/snprintf.c source.  Should not be needed on any relevant platform today I think  but if needed we can always add back a GPL-compatible version.. 
6039	NO	Import IPv6 support from squid3-ipv6 branch to 3-HEAD.  This patch fully enables squid to handle IPv6 on internally supported protocols which have IPv6 capability. see 3.1 Release Notes for full details on the IPv6 changes. also see squid.conf generated from this point for configuration changes.  TODO: Release-Notes fro 3.1 have yet to be created. The mentioned details       documentation will come in a later patch. 
6041	NO	Several compile fixes. 
6088	YES	More off_t related cleanups triggered by Bug #2164.  This patch cleans up various pieces of code  from an off_t usage audit triggered by Bug #2164.  off_t should be used for on-disk file offsets/positions only  not internal buffers or object offsets.  object offsets should use int64_t  buffer offsets size_t or int  or maybe ssize_t if negative values allowed 
6109	NO	Windows port: restore Windows compatibility changes to edir_ldapext.c lost after last commit. 
