loc,v_g,ev_g,iv_g,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
71,8,1,7,307,1993,0.05,21.94,90.85,43721.41,0.66,2428.97,6,39,25,0,26,64,199,108,15,true
22,2,1,2,114,575.06,0.06,15.43,37.27,8872.37,0.19,492.91,1,19,27,0,12,21,60,54,3,true
22,5,5,3,84,440.83,0.08,12.55,35.13,5531.32,0.15,307.3,0,17,9,0,17,21,53,31,9,true
59,7,1,7,349,2318.71,0.05,22.14,104.75,51324.87,0.77,2851.38,16,23,32,0,26,74,223,126,13,true
19,1,1,1,118,561.08,0.08,12,46.76,6732.92,0.19,374.05,1,3,10,0,8,19,61,57,1,true
89,24,9,19,402,2603.24,0.02,47.6,54.69,123914.45,0.87,6884.14,4,62,30,0,34,55,248,154,32,true
32,4,1,4,121,648.26,0.05,18.57,34.91,12037.08,0.22,668.73,3,24,13,0,19,22,78,43,7,true
74,11,11,9,354,2274.9,0.03,36.74,61.92,83581.43,0.76,4643.41,7,28,31,0,32,54,230,124,21,true
32,4,1,4,117,574.11,0.04,22.75,25.24,13060.92,0.19,725.61,0,4,17,0,14,16,65,52,5,true
107,18,9,10,516,3366.16,0.02,64.92,51.85,218524.86,1.12,12140.27,9,73,51,0,37,55,323,193,35,true
7,1,1,1,30,122.62,0.18,5.63,21.8,689.76,0.04,38.32,0,0,0,0,9,8,20,10,1,true
19,3,1,1,85,439.44,0.1,9.64,45.57,4237.49,0.15,235.42,2,22,12,0,15,21,58,27,5,true
18,3,1,3,60,297.25,0.11,9.47,31.39,2815.15,0.1,156.4,3,34,14,0,14,17,37,23,5,true
22,3,1,3,81,439.53,0.09,11.08,39.66,4871.43,0.15,270.63,3,11,10,0,19,24,53,28,5,true
20,3,1,3,64,330.88,0.1,10.5,31.51,3474.19,0.11,193.01,2,19,8,0,18,18,43,21,5,true
8,1,1,1,24,103.73,0.2,5,20.75,518.63,0.03,28.81,0,7,7,0,10,10,14,10,1,true
44,8,4,7,159,971.26,0.08,13.06,74.36,12685.78,0.32,704.77,2,31,10,0,20,49,95,64,15,true
91,18,7,16,591,4176.06,0.05,21.41,195.05,89412.4,1.39,4967.36,4,18,4,0,22,112,373,218,35,true
47,3,1,3,256,1563.78,0.04,28,55.85,43785.9,0.52,2432.55,2,13,2,0,23,46,144,112,5,true
24,4,3,3,107,587.63,0.05,19.13,30.72,11241.58,0.2,624.53,1,7,4,0,22,23,67,40,7,true
82,11,3,10,475,3155.83,0.02,44.71,70.59,141084.24,1.05,7838.01,9,59,35,0,32,68,285,190,21,true
10,2,1,1,32,150.41,0.15,6.5,23.14,977.69,0.05,54.32,1,12,4,0,13,13,19,13,3,true
28,6,5,5,104,564.33,0.06,16.09,35.08,9078.38,0.19,504.35,2,7,0,0,20,23,67,37,11,true
